Title:,Trace 1
Model:,N9320B
Serial Number:,CN0323C271
Center Frequency:,465000000.000000,Hz
Span:,870000000.000000,Hz
Resolution Bandwidth:,1000000.000000,Hz
Video Bandwidth:,1000000.000000,Hz
Reference Level:,-6.000000,dBm
Sweep Time:,0.031388,s
Num Points:,461
Window Limit:,OFF
Units,Hz,dBm
No.,Frequency(Hz),Amplitude(dBm)
1,30000000.000000,-3.473258591e+01
2,31891304.347826,-3.447281647e+01
3,33782608.695652,-3.416518402e+01
4,35673913.043478,-3.378683090e+01
5,37565217.391304,-3.332608032e+01
6,39456521.739130,-3.308029556e+01
7,41347826.086957,-3.276418304e+01
8,43239130.434783,-3.239234161e+01
9,45130434.782609,-3.213512421e+01
10,47021739.130435,-3.171306992e+01
11,48913043.478261,-3.148016357e+01
12,50804347.826087,-3.124607086e+01
13,52695652.173913,-3.104099655e+01
14,54586956.521739,-3.085411072e+01
15,56478260.869565,-3.069355011e+01
16,58369565.217391,-3.060278320e+01
17,60260869.565217,-3.038159180e+01
18,62152173.913043,-3.025127411e+01
19,64043478.260870,-2.998360443e+01
20,65934782.608696,-2.982234955e+01
21,67826086.956522,-2.969720459e+01
22,69717391.304348,-2.950262833e+01
23,71608695.652174,-2.939209366e+01
24,73500000.000000,-2.923134995e+01
25,75391304.347826,-2.912327194e+01
26,77282608.695652,-2.903615189e+01
27,79173913.043478,-2.886137009e+01
28,81065217.391304,-2.884236145e+01
29,82956521.739130,-2.883061218e+01
30,84847826.086957,-2.884122849e+01
31,86739130.434783,-2.886066055e+01
32,88630434.782609,-2.886123276e+01
33,90521739.130435,-2.886256409e+01
34,92413043.478261,-2.887285614e+01
35,94304347.826087,-2.879123306e+01
36,96195652.173913,-2.884881592e+01
37,98086956.521739,-2.889043808e+01
38,99978260.869565,-2.885387421e+01
39,101869565.217391,-2.876722717e+01
40,103760869.565217,-2.859516144e+01
41,105652173.913043,-2.841514206e+01
42,107543478.260870,-2.822346115e+01
43,109434782.608696,-2.789065933e+01
44,111326086.956522,-2.771669388e+01
45,113217391.304348,-2.747328949e+01
46,115108695.652174,-2.715615463e+01
47,117000000.000000,-2.681681442e+01
48,118891304.347826,-2.642232513e+01
49,120782608.695652,-2.596737289e+01
50,122673913.043478,-2.546341705e+01
51,124565217.391304,-2.512702179e+01
52,126456521.739130,-2.499822235e+01
53,128347826.086957,-2.494859695e+01
54,130239130.434783,-2.493168640e+01
55,132130434.782609,-2.533424759e+01
56,134021739.130435,-2.539044571e+01
57,135913043.478261,-2.546789551e+01
58,137804347.826087,-2.556468201e+01
59,139695652.173913,-2.565993500e+01
60,141586956.521739,-2.588950729e+01
61,143478260.869565,-2.618198776e+01
62,145369565.217391,-2.649934006e+01
63,147260869.565217,-2.687241745e+01
64,149152173.913043,-2.724550247e+01
65,151043478.260870,-2.768126297e+01
66,152934782.608696,-2.808034897e+01
67,154826086.956522,-2.835860062e+01
68,156717391.304348,-2.856306839e+01
69,158608695.652174,-2.877800751e+01
70,160500000.000000,-2.899440002e+01
71,162391304.347826,-2.914031982e+01
72,164282608.695652,-2.912313461e+01
